,Instrument,Date,Earnings Per Share - Actual
0,A.N,2024-05-29 16:10:00,1.22
1,A.N,2024-02-27 16:15:00,1.29
2,A.N,2023-11-20 16:08:00,1.38
3,A.N,2023-08-15 16:05:00,1.43
4,A.N,2023-05-23 16:05:00,1.27
5,A.N,2023-02-28 16:05:00,1.37
6,A.N,2022-11-21 16:05:00,1.53
7,A.N,2022-08-16 16:04:00,1.34
8,A.N,2022-05-24 16:05:00,1.13
9,A.N,2022-02-22 16:05:00,1.21
10,A.N,2021-11-22 16:05:00,1.21
11,A.N,2021-08-17 16:05:00,1.1
12,A.N,2021-05-25 16:05:00,0.97
13,A.N,2021-02-16 16:05:00,1.06
14,A.N,2020-11-23 16:05:00,0.98
15,A.N,2020-08-18 16:05:00,0.78
16,A.N,2020-05-21 16:08:00,0.71
17,A.N,2020-02-18 16:05:00,0.81
18,A.N,2019-11-25 16:05:00,0.89
19,A.N,2019-08-14 16:05:00,0.76
20,A.N,2019-05-14 16:05:00,0.71
21,A.N,2019-02-20 16:05:00,0.76
22,A.N,2018-11-19 16:16:00,0.81
23,A.N,2018-08-14 16:05:00,0.67
24,A.N,2018-05-14 16:26:00,0.65
25,A.N,2018-02-14 16:33:00,0.66
26,A.N,2017-11-20 16:05:00,0.67
27,A.N,2017-08-15 16:05:00,0.59
28,A.N,2017-05-22 16:14:00,0.58
29,A.N,2017-02-14 16:05:00,0.53
30,A.N,2016-11-15 16:05:00,0.59
31,A.N,2016-08-17 16:05:00,0.49
32,A.N,2016-05-16 16:05:00,0.44
33,A.N,2016-02-16 16:05:00,0.46
34,A.N,2015-11-16 16:05:00,0.5
35,A.N,2015-08-17 16:05:00,0.44
36,A.N,2015-05-18 16:05:00,0.38
37,A.N,2015-02-17 16:05:00,0.41
38,A.N,2014-11-17 16:13:00,0.88
39,A.N,2014-08-14 16:05:00,0.78
40,A.N,2014-05-14 16:05:00,0.72
41,A.N,2014-02-13 16:05:00,0.67
42,A.N,2013-11-14 16:05:00,0.81
43,A.N,2013-08-14 16:05:00,0.68
44,A.N,2013-05-14 16:05:00,0.77
45,A.N,2013-02-14 16:05:00,0.63
46,AAPL.OQ,2024-05-02 16:31:00,1.53
47,AAPL.OQ,2024-02-01 16:00:00,2.18
48,AAPL.OQ,2023-11-02 16:30:00,1.46
49,AAPL.OQ,2023-08-03 16:30:00,1.26
50,AAPL.OQ,2023-05-04 16:30:00,1.52
51,AAPL.OQ,2023-02-02 16:30:00,1.88
52,AAPL.OQ,2022-10-27 16:30:00,1.29
53,AAPL.OQ,2022-07-28 16:30:00,1.2
54,AAPL.OQ,2022-04-28 16:30:00,1.52
55,AAPL.OQ,2022-01-27 16:30:00,2.1
56,AAPL.OQ,2021-10-28 16:30:00,1.24
57,AAPL.OQ,2021-07-27 16:30:00,1.3
58,AAPL.OQ,2021-04-28 16:30:00,1.4
59,AAPL.OQ,2021-01-27 16:31:00,1.68
